application_id,age,annual_income,credit_score,loan_amount,years_employed,debt_to_income_ratio,existing_loans,employment_type,marital_status,education_level,residence_type,city_tier,card_type_requested,application_date,approval_status
100029,45,158180,841,36866,33,0.55,7,Business,Married,High School,Owned,Tier2,Gold,10/06/2025,Approved
100030,47,61382,470,4386,7,0.69,3,Self-Employed,Single,High School,Rented,Tier1,Silver,31/07/2025,Rejected
100031,62,100787,802,6440,0,0.41,5,Business,Married,Bachelors,Owned,Tier3,Gold,01/02/2025,Approved
100032,48,48341,832,46503,1,0.48,1,Self-Employed,Single,Masters,Family,Tier1,Silver,14/01/2024,Approved
100033,36,170439,598,43776,26,0.53,2,Self-Employed,Married,High School,Family,Tier3,Gold,14/01/2025,Approved
100034,35,144967,500,7436,2,0.2,2,Self-Employed,Divorced,High School,Rented,Tier3,Platinum,31/05/2024,Approved
100035,64,156066,434,8403,33,0.27,1,Business,Married,Masters,Owned,Tier3,Gold,16/10/2024,Approved
100036,23,168074,571,24242,15,0.32,1,Business,Divorced,High School,Rented,Tier1,Gold,17/04/2024,Approved
100037,57,110820,834,44464,0,0.44,2,Business,Divorced,Bachelors,Owned,Tier3,Silver,02/11/2025,Approved
100038,27,84949,741,3939,6,0.6,4,Self-Employed,Single,Masters,Rented,Tier2,Silver,13/12/2024,Rejected
100039,41,171772,386,18222,34,0.22,6,Salaried,Divorced,High School,Family,Tier2,Silver,15/02/2024,Approved
100040,29,87543,330,28277,21,0.36,1,Self-Employed,Married,High School,Rented,Tier3,Gold,05/04/2025,Approved
100041,59,185390,420,22143,31,0.54,7,Self-Employed,Single,High School,Owned,Tier1,Platinum,16/01/2024,Rejected
100042,38,52610,368,4138,25,0.11,5,Self-Employed,Single,High School,Rented,Tier3,Silver,19/08/2025,Approved
100043,24,90226,795,21989,5,0.38,0,Business,Married,Bachelors,Family,Tier2,Gold,22/01/2024,Approved
100044,45,70167,445,4162,10,0.14,1,Self-Employed,Single,Masters,Owned,Tier2,Gold,02/08/2024,Approved
100045,34,184011,632,3752,,0.4,5,Self-Employed,Married,Bachelors,Family,Tier3,Gold,04/04/2025,Approved
100046,29,92381,780,26765,20,0.55,2,Self-Employed,,Bachelors,Owned,Tier1,Silver,17/06/2024,Rejected
100047,46,71710,562,46657,21,0.2,0,Salaried,Single,High School,Owned,Tier2,Gold,17/06/2025,Approved
100048,22,41766,592,1837,0,0.6,2,Business,Divorced,,Family,Tier1,Gold,29/03/2024,Approved
100049,40,127416,728,29474,20,0.27,3,Self-Employed,Single,High School,Owned,Tier2,Silver,26/08/2024,Approved
100050,48,37780,385,13043,19,0.17,3,Self-Employed,Married,Masters,Rented,Tier2,Gold,14/02/2024,Rejected
100051,27,73458,315,49565,8,0.35,4,Salaried,Married,Bachelors,,Tier3,Gold,03/04/2024,Approved
100052,64,81221,417,48154,26,0.62,7,Business,Married,Bachelors,Rented,Tier2,Platinum,16/03/2025,Rejected
100053,28,26509,569,36501,28,0.09,7,Self-Employed,Married,Bachelors,Owned,Tier3,Gold,13/07/2024,Approved
100054,,114493,694,45770,32,0.26,1,Business,Single,Masters,Family,Tier2,Platinum,26/05/2025,Approved
100055,34,190418,461,48369,0,0.47,6,Self-Employed,Divorced,High School,Rented,Tier2,Silver,14/03/2025,Approved
100056,37,141850,403,25072,2,0.28,6,Self-Employed,Divorced,High School,Owned,Tier1,Silver,01/11/2025,Approved
100057,56,182220,466,38974,31,0.1,2,Business,Single,Masters,Family,Tier3,Platinum,15/08/2024,Rejected
100058,60,56533,599,3653,19,0.27,0,Salaried,Single,Masters,Owned,Tier1,Platinum,20/05/2025,Approved
100059,24,133144,327,23524,16,0.58,5,Self-Employed,Divorced,High School,Rented,Tier3,Platinum,13/03/2025,Approved
100060,22,147402,723,20733,9,0.68,1,Business,Divorced,Bachelors,Rented,Tier1,Gold,05/11/2025,Rejected
100061,26,103467,455,37078,28,0.08,4,Self-Employed,Single,High School,Owned,Tier2,Gold,09/06/2025,Approved
100062,62,26359,623,38448,31,0.42,2,Self-Employed,Single,Masters,Rented,Tier3,Platinum,29/05/2024,Approved
100063,24,144119,647,19770,12,0.12,5,Salaried,Single,Masters,Family,Tier3,Platinum,02/02/2025,Approved
100064,49,45344,420,38959,30,0.49,5,Salaried,Single,High School,Rented,Tier3,Platinum,27/12/2025,Rejected
100065,38,143499,827,38443,3,0.06,2,Business,Single,Bachelors,Owned,Tier2,Silver,23/11/2024,Rejected
100066,46,94778,463,13804,,0.06,3,Self-Employed,Divorced,Masters,Rented,Tier2,Gold,20/11/2025,Rejected
100067,64,45601,361,17210,10,0.55,4,Self-Employed,Divorced,Masters,Rented,Tier3,Gold,19/06/2025,Rejected
100068,54,175188,639,35029,17,0.1,5,Business,Married,Masters,Rented,Tier1,Silver,01/03/2025,Rejected
100069,30,126013,611,8633,32,0.25,2,Self-Employed,Married,High School,Owned,Tier1,Gold,09/02/2024,Rejected
100070,56,55782,675,9312,2,0.67,3,Self-Employed,Divorced,High School,Owned,Tier2,Platinum,22/11/2024,Rejected
100071,34,136095,645,,0,0.69,6,Business,Divorced,Masters,Rented,Tier2,Gold,27/01/2025,Rejected
100072,51,122123,449,21229,18,0.15,6,Salaried,Married,High School,Rented,Tier1,Platinum,26/04/2025,Approved
100073,35,69458,476,3884,5,0.41,3,,Married,Bachelors,Rented,Tier1,Silver,07/05/2024,Approved
100074,28,149225,653,44577,9,0.41,0,Salaried,Married,High School,Family,Tier2,Silver,02/03/2025,Rejected
100075,34,164152,813,21522,11,0.34,5,Salaried,Single,Masters,Owned,Tier1,Gold,27/07/2025,Rejected
100076,43,190029,608,6623,16,0.65,4,Salaried,Married,Bachelors,Owned,Tier1,Platinum,20/10/2025,Approved
100077,60,169980,418,12460,26,0.54,4,Business,Single,High School,Owned,Tier1,Platinum,11/08/2024,Approved
100078,41,121188,818,11234,1,0.55,6,Business,Single,Masters,Owned,Tier2,Gold,16/06/2025,Approved
100079,36,146292,777,19503,24,0.23,2,Business,Married,Masters,Family,Tier1,Silver,18/04/2025,Approved
100080,38,115570,713,25100,27,0.33,6,Salaried,Divorced,Bachelors,Owned,Tier3,Platinum,01/03/2024,Approved
100081,44,148791,650,17874,16,0.37,0,Salaried,Married,High School,Rented,Tier2,Gold,16/10/2024,Approved
100082,46,150291,805,47905,4,0.24,1,Salaried,Married,High School,,Tier3,Platinum,17/04/2024,Rejected
100083,45,123375,494,30420,18,0.11,2,Self-Employed,Married,High School,Rented,Tier3,Platinum,16/07/2024,Rejected
100084,61,63314,486,36813,3,0.13,3,Salaried,Married,High School,,Tier1,Platinum,20/02/2025,Approved
100085,49,133880,749,1382,29,0.17,1,Self-Employed,Married,Bachelors,Family,Tier3,,07/04/2025,Approved
100086,35,125326,795,39353,31,0.18,1,Salaried,Single,Masters,Family,Tier2,Silver,27/03/2024,Approved
100087,21,171903,814,10369,,0.21,5,Self-Employed,Married,Masters,Family,Tier2,Silver,24/07/2025,Approved
100088,45,146026,572,35985,31,0.22,7,Self-Employed,Divorced,Masters,Family,Tier2,Silver,22/11/2024,Approved
100089,27,176197,351,43255,10,0.35,7,Business,Divorced,High School,Family,Tier2,Gold,15/10/2025,Approved
100090,29,87451,562,24661,12,0.38,2,Business,Single,High School,Owned,Tier1,Gold,06/04/2025,Approved
100091,44,70708,667,46486,34,0.25,5,Salaried,Single,High School,Rented,Tier2,Silver,22/02/2024,Approved
100092,21,42682,432,48883,16,0.64,0,Business,Married,High School,Rented,Tier3,Gold,13/03/2025,Approved
100093,64,127406,524,1650,29,0.41,4,Self-Employed,Married,Masters,Owned,Tier1,Silver,12/09/2024,Approved
100094,28,191866,609,41937,17,0.56,0,Business,Single,Masters,Rented,Tier2,Silver,18/08/2025,Approved
100095,44,84372,315,22299,29,0.65,2,Business,Divorced,Bachelors,Rented,Tier3,Gold,19/12/2024,Approved
100096,31,64477,494,27862,25,0.16,4,Self-Employed,Married,Bachelors,Rented,Tier3,Platinum,26/10/2024,Approved
100097,37,194809,742,32153,15,0.33,1,Salaried,Divorced,High School,Owned,Tier2,Platinum,14/05/2024,Approved
100098,28,158692,602,17312,10,0.33,6,Salaried,Single,Bachelors,Owned,Tier2,Gold,15/12/2024,Approved
100099,55,191129,347,11943,3,0.28,6,Self-Employed,Divorced,Masters,Rented,Tier3,Gold,22/08/2024,Approved
100100,55,196210,420,4198,14,0.06,3,Business,Divorced,Masters,Owned,Tier3,Silver,15/02/2024,Approved
100101,53,78024,798,18325,11,0.58,5,Salaried,Divorced,Masters,Family,Tier2,Platinum,24/08/2025,Approved
100102,25,165749,768,9732,26,0.12,0,Self-Employed,Married,Masters,Family,Tier3,Platinum,09/12/2025,Rejected
100103,62,180146,340,6805,3,0.7,5,,,High School,Rented,Tier2,Silver,22/09/2025,Rejected
100104,59,42824,755,19913,34,0.55,5,Self-Employed,Married,High School,Family,Tier1,Silver,28/08/2025,Approved
100105,61,156837,833,2202,20,0.43,6,Business,Divorced,Bachelors,Family,Tier1,Platinum,10/06/2024,Approved
100106,48,122151,670,18034,1,0.15,4,Salaried,Married,High School,Owned,Tier2,Silver,28/10/2024,Rejected
100107,27,73926,481,4006,27,0.39,0,Self-Employed,Married,Bachelors,Family,Tier2,Platinum,11/05/2025,Rejected
100108,29,192932,816,9505,33,0.22,4,Salaried,Married,Masters,Rented,Tier2,Gold,14/06/2025,Approved
100109,28,37975,530,21498,32,0.21,3,Business,Single,Bachelors,Family,Tier3,Gold,05/05/2025,Approved
100110,32,99877,647,43143,7,0.59,5,Salaried,Single,High School,Family,Tier3,Platinum,30/01/2024,Approved
100111,54,102870,778,46873,7,0.3,2,Self-Employed,Divorced,High School,Family,Tier1,Platinum,20/09/2024,Approved
100112,53,106371,508,17505,21,0.34,6,Business,Married,Masters,Owned,Tier2,Silver,26/03/2024,Approved
100113,43,182620,577,7603,26,0.6,2,Self-Employed,Divorced,High School,Owned,Tier2,Gold,30/09/2024,Rejected
100114,44,125970,352,25744,27,0.11,4,Business,Married,Masters,Owned,Tier2,Platinum,28/03/2024,Rejected
100115,57,123066,309,4682,10,0.44,4,Salaried,Divorced,High School,Family,Tier3,Silver,17/04/2024,Approved
100116,55,194808,763,14460,26,0.43,2,Business,Single,Masters,Owned,Tier2,Platinum,21/02/2024,Approved
100117,64,86562,457,14559,0,0.33,1,Business,Divorced,Bachelors,Owned,Tier3,Gold,31/12/2024,Rejected
100118,60,65409,318,29544,27,0.59,6,Business,Single,Bachelors,Owned,Tier1,Platinum,03/06/2025,Approved
100119,42,34834,354,7864,26,0.66,1,Business,Married,Masters,Rented,Tier2,Platinum,31/01/2025,Rejected
100120,47,127192,320,24778,7,0.35,6,Self-Employed,Married,Bachelors,Rented,Tier2,Platinum,11/06/2024,Rejected
100121,55,25840,581,15234,23,0.35,1,Business,Married,High School,Family,Tier3,Platinum,21/08/2025,Approved
100122,21,56568,839,29593,23,0.38,6,Self-Employed,Divorced,Masters,,Tier2,Platinum,12/07/2024,Rejected
100123,55,35846,716,45657,21,0.52,3,Self-Employed,Divorced,Bachelors,Owned,Tier3,Gold,13/12/2024,Approved
100124,57,161971,584,2729,9,0.48,7,Salaried,Divorced,Bachelors,Rented,Tier2,Silver,09/12/2025,Approved
100125,34,111038,831,45515,3,0.19,4,Salaried,Single,High School,Family,Tier1,Gold,17/04/2025,Approved
100126,23,194845,831,23336,7,0.09,0,Business,Married,Bachelors,Family,Tier2,Silver,19/01/2025,Rejected
100127,21,154789,810,35936,14,0.67,0,Business,Married,Bachelors,Owned,Tier3,Silver,27/06/2024,Approved
100128,25,132460,695,13413,7,0.22,4,Salaried,Single,Masters,Rented,Tier2,Gold,07/12/2024,Approved
100129,46,99723,419,48652,28,0.47,2,Salaried,Single,High School,Rented,Tier3,Platinum,17/07/2024,Approved
100130,34,129194,396,30764,34,0.59,7,Self-Employed,Married,Bachelors,Family,Tier2,Silver,19/07/2025,Approved
100131,59,136417,419,46741,13,0.25,4,Business,Married,Masters,Owned,Tier3,Platinum,28/12/2025,Approved
100132,47,,836,8668,31,0.46,1,Salaried,Single,Bachelors,Family,Tier2,Gold,26/01/2024,Approved
100133,29,81888,452,14260,6,0.12,1,Salaried,Single,Masters,Owned,Tier1,Silver,16/12/2024,Approved
100134,35,66616,544,12308,32,0.68,0,Self-Employed,Married,High School,Rented,Tier2,Silver,19/04/2025,Approved
100135,35,31083,815,9896,34,0.09,4,Self-Employed,Married,High School,Family,Tier3,Gold,25/06/2024,Approved
100136,46,168670,692,40408,26,0.33,0,Salaried,Single,High School,Owned,Tier1,Gold,12/09/2025,Rejected
100137,62,107476,442,20283,0,0.4,2,Business,Married,Bachelors,Owned,Tier1,Platinum,05/03/2025,Approved
100138,33,117416,803,20591,5,0.56,5,Self-Employed,Single,Bachelors,Owned,Tier3,Gold,24/05/2024,Approved
100139,52,27580,519,26282,1,0.13,5,Self-Employed,Married,Masters,Family,Tier3,Platinum,28/08/2025,Approved
100140,59,147834,459,14919,6,0.34,5,Business,Divorced,High School,Family,Tier2,Silver,19/03/2025,Approved
100141,52,137148,375,8674,7,0.24,3,Salaried,Divorced,High School,Family,Tier1,Platinum,13/04/2025,Approved
100142,24,67321,331,31699,28,0.25,6,,Married,Masters,Rented,Tier3,Silver,09/10/2025,Rejected
100143,50,34386,633,31840,15,0.56,3,Business,Single,Masters,Owned,Tier2,Silver,07/07/2024,Approved
100144,57,78171,824,19392,28,0.05,2,Business,Divorced,Bachelors,Owned,Tier2,Silver,01/03/2024,Approved
100145,43,175594,739,32960,30,0.54,1,Self-Employed,Single,High School,Owned,Tier3,Gold,17/02/2024,Approved
100146,59,170707,651,5721,21,0.58,1,Salaried,Divorced,Bachelors,Owned,Tier1,Platinum,24/01/2025,Rejected
100147,35,156743,638,30197,9,0.64,7,Salaried,Divorced,Masters,Rented,Tier3,Platinum,08/06/2025,Approved
100148,63,58545,699,27173,3,0.46,1,Salaried,Divorced,High School,Owned,Tier2,Platinum,16/02/2025,Approved
100149,49,51855,695,2066,24,0.27,0,Business,Married,Masters,Rented,Tier3,Platinum,03/03/2024,Approved
100150,56,60790,501,43906,12,0.33,6,Business,Married,Masters,Family,Tier2,Silver,11/07/2025,Approved
100151,33,76012,829,28375,16,0.68,5,Salaried,Single,High School,Family,Tier3,Silver,21/02/2025,Approved
100152,52,142827,392,2918,7,0.62,0,Business,Married,Bachelors,Owned,Tier3,Platinum,05/12/2024,Rejected
100153,27,39260,657,10457,22,0.35,3,Business,Single,Masters,Family,Tier1,Gold,15/04/2024,Approved
100154,42,26074,695,11726,6,0.66,1,Business,Divorced,Masters,Owned,Tier1,Gold,25/11/2024,Approved
100155,48,198748,359,15282,31,0.58,1,Salaried,Married,Masters,Rented,Tier2,Gold,24/08/2024,Rejected
100156,22,165547,776,25815,23,0.64,6,Salaried,Divorced,Bachelors,Family,Tier1,Platinum,06/10/2024,Rejected
100157,62,171192,300,23594,0,0.49,5,Salaried,Single,Bachelors,Family,Tier3,Silver,21/01/2025,Approved
100158,26,179219,610,8448,26,0.61,6,Self-Employed,Married,Bachelors,Rented,Tier1,Gold,28/01/2024,Approved
100159,48,26986,467,2142,5,0.63,7,Salaried,Married,High School,Rented,Tier3,Gold,10/08/2025,Approved
100160,48,188502,491,21232,30,0.11,2,Self-Employed,Divorced,Bachelors,Rented,Tier3,,03/02/2025,Approved
100161,64,80479,333,2415,,0.68,3,Business,Married,Masters,Owned,Tier2,Platinum,12/11/2025,Approved
100162,64,155833,333,7374,25,0.27,5,Business,Single,Masters,Owned,Tier1,Silver,03/11/2025,Approved
100163,40,27176,716,27974,24,0.34,0,Business,Married,High School,Family,Tier2,Silver,28/12/2025,Rejected
100164,50,109258,457,34528,3,0.56,3,Salaried,Divorced,Bachelors,Family,Tier3,Platinum,13/09/2024,Rejected
100165,31,140188,799,4642,5,0.48,5,Self-Employed,Single,High School,Rented,Tier3,Silver,15/01/2025,Rejected
100166,48,109153,665,18936,12,0.63,7,Salaried,Married,Masters,Owned,Tier2,Silver,04/05/2025,Approved
100167,45,183187,639,32914,24,0.31,1,Salaried,Divorced,Bachelors,Rented,Tier2,Gold,10/10/2025,Rejected
100168,59,102442,634,10347,30,0.29,1,Business,Divorced,High School,Rented,Tier2,Silver,14/08/2024,Approved
100169,53,65002,626,25932,21,0.07,0,Self-Employed,Divorced,Bachelors,Owned,Tier3,Platinum,11/06/2025,Approved
100170,,82124,413,24593,34,0.35,6,Salaried,Divorced,Bachelors,Family,Tier1,Silver,19/07/2024,Approved
100171,47,162682,717,2328,20,0.52,0,Self-Employed,Divorced,Masters,Family,Tier3,Gold,16/12/2025,Approved
100172,33,74752,767,19760,14,0.25,3,Salaried,Single,Masters,Family,Tier3,Gold,18/02/2025,Approved
100173,61,103947,442,20625,2,0.35,4,Business,Divorced,Masters,Family,Tier3,Platinum,31/10/2024,Rejected
100174,,143972,608,27567,25,0.19,1,Salaried,Divorced,High School,Family,Tier3,Silver,25/04/2024,Rejected
100175,59,99716,700,13063,16,0.55,1,Self-Employed,Married,High School,Owned,Tier1,Silver,07/05/2025,Approved
100176,26,35073,619,32630,34,0.09,4,Business,Single,High School,Owned,Tier3,Gold,15/11/2025,Rejected
100177,28,62251,511,27961,7,0.51,3,Salaried,Divorced,Bachelors,Rented,Tier2,Silver,09/04/2024,Approved
100178,47,121496,616,4140,10,0.3,2,Self-Employed,Married,Bachelors,Family,Tier1,Gold,28/06/2024,Approved
100179,29,63897,484,18265,23,0.08,2,Self-Employed,Single,Masters,Family,Tier2,Platinum,11/10/2024,Approved
100180,57,76616,504,9730,7,0.6,1,,Single,Bachelors,Owned,Tier2,Silver,28/04/2024,Rejected
100181,53,29482,663,15057,29,0.37,2,Business,Divorced,Bachelors,Rented,Tier3,Gold,02/08/2025,Approved
100182,62,132990,515,4557,0,0.44,6,Salaried,Single,Masters,Owned,Tier1,Platinum,13/04/2024,Approved
100183,64,195646,545,30114,33,0.53,3,Business,Married,High School,Owned,Tier3,Silver,19/07/2024,Approved
100184,44,68284,538,14211,19,0.48,2,Salaried,Single,Masters,Family,Tier1,Gold,25/03/2024,Rejected
100185,35,97932,690,48154,33,0.53,0,Self-Employed,Divorced,Bachelors,Owned,Tier1,Gold,02/05/2025,Approved
100186,52,32338,819,19580,33,0.55,3,Business,Divorced,Masters,Owned,Tier2,Silver,23/09/2024,Approved
100187,52,198790,576,19334,12,0.43,4,Self-Employed,Married,Bachelors,Family,Tier1,Platinum,11/08/2025,Rejected
100188,44,,501,10802,5,0.29,1,Self-Employed,Single,Masters,Family,Tier2,Silver,27/05/2024,Approved
100189,61,167617,513,23321,24,0.21,3,Salaried,Married,Bachelors,Family,Tier3,Gold,14/03/2024,Rejected
100190,32,86480,777,36931,26,0.64,2,Business,Single,Bachelors,Family,Tier2,Gold,03/07/2024,Approved
100191,59,161313,807,38231,30,0.68,3,Salaried,Single,Masters,Owned,Tier2,Platinum,02/08/2024,Approved
100192,22,178893,374,5007,2,0.28,5,Business,Single,Bachelors,Owned,Tier1,Platinum,30/08/2025,Rejected
100193,23,29695,441,,27,0.12,4,Salaried,Single,Bachelors,Family,Tier1,Platinum,28/12/2025,Approved
100194,57,39318,621,15058,3,0.19,5,Salaried,Divorced,Bachelors,Owned,Tier2,Platinum,03/03/2025,Approved
100195,37,75934,760,38519,16,0.49,3,Salaried,Divorced,Masters,Owned,Tier3,Platinum,12/10/2025,Rejected
100196,22,178403,445,7219,33,0.16,4,Self-Employed,Married,High School,Rented,Tier2,Gold,06/08/2024,Approved
100197,22,146282,353,16445,19,0.56,4,Business,Single,High School,Rented,Tier3,Gold,10/11/2024,Approved
100198,48,116891,655,9418,12,0.65,3,Self-Employed,Married,Masters,Rented,Tier3,Platinum,27/12/2025,Approved
100199,43,93754,576,24914,4,0.68,1,Self-Employed,Married,Masters,Owned,Tier1,Gold,24/08/2024,Rejected
100200,57,110677,699,30630,23,0.06,6,Salaried,Divorced,High School,Family,Tier3,Silver,03/09/2024,Rejected
100201,52,127320,815,41503,16,0.67,1,Salaried,Married,Masters,Owned,Tier2,Platinum,18/02/2024,Approved
100202,53,158909,798,42551,30,0.53,2,Self-Employed,Married,Bachelors,Rented,Tier1,Silver,10/06/2025,Approved
100203,21,150261,,29695,27,0.1,5,Business,Married,Masters,Owned,Tier1,Platinum,26/03/2025,Rejected
100204,39,130338,570,31434,0,0.32,3,Salaried,Single,High School,Rented,Tier1,Gold,07/12/2024,Rejected
100205,22,65077,748,15456,1,0.51,5,Self-Employed,Single,,Family,Tier3,Platinum,18/05/2024,Approved
100206,64,104915,411,,32,0.67,5,Business,Married,High School,,Tier2,Gold,09/08/2025,Rejected
100207,46,160311,538,25156,28,0.16,3,Business,Married,High School,Family,Tier2,Gold,03/06/2025,Rejected
100208,52,54669,443,46908,3,0.13,7,Self-Employed,Single,Bachelors,Family,Tier1,Gold,06/02/2024,Approved
100209,26,73624,673,44631,17,0.36,0,,Single,High School,Rented,Tier3,Gold,29/10/2025,Approved
100210,52,100147,319,48993,23,0.68,1,Business,Married,High School,Rented,Tier2,Platinum,15/06/2025,Approved
100211,24,160222,588,3078,31,0.68,7,Business,Married,High School,Rented,Tier3,Silver,12/09/2024,Rejected
100212,31,,496,31350,8,0.2,7,Self-Employed,Single,High School,Owned,Tier1,Platinum,18/09/2025,Approved
100213,37,182088,681,45910,15,0.26,4,Self-Employed,Single,Masters,Rented,Tier2,Gold,22/01/2024,Approved
100214,58,168008,791,13073,20,0.64,7,Business,Single,High School,Family,Tier2,Platinum,23/07/2025,Approved
100215,44,167108,463,24778,29,0.53,0,Salaried,Single,Masters,Rented,Tier3,Silver,15/09/2025,Approved
100216,25,195308,548,24397,2,0.68,3,Business,Married,High School,,Tier3,,15/12/2025,Rejected
100217,54,170093,367,4321,32,0.63,0,Business,Single,High School,Owned,Tier1,Gold,18/06/2025,Approved
100218,26,61943,320,13337,30,0.19,1,Business,Single,Masters,Owned,Tier1,Gold,01/09/2025,Approved
100219,42,138694,811,48829,13,0.54,3,Business,Single,Bachelors,Owned,Tier2,Gold,03/02/2024,Approved
100220,31,179316,689,7011,5,0.08,7,Salaried,Divorced,Bachelors,Owned,Tier2,Platinum,21/08/2024,Approved
100221,36,148351,835,40855,4,0.58,5,Self-Employed,Divorced,Bachelors,Rented,Tier1,Platinum,26/06/2024,Approved
100222,53,63985,410,10996,28,0.44,5,Business,Single,High School,Rented,Tier2,Silver,16/02/2024,Rejected
100223,29,157574,759,35498,20,0.67,1,Self-Employed,Married,Bachelors,Family,Tier2,Silver,16/04/2025,Approved
100224,26,78836,377,47845,11,0.67,0,Self-Employed,Single,High School,Family,Tier3,,19/11/2025,Approved
100225,36,124714,733,21046,22,0.08,7,Self-Employed,Single,High School,Owned,Tier2,Gold,30/07/2025,Approved
100226,49,28770,679,22494,13,0.15,7,Business,Single,Bachelors,Rented,Tier3,Platinum,11/03/2025,Approved
100227,23,67865,739,7618,9,0.36,2,Business,Single,Masters,Family,Tier1,Platinum,21/05/2025,Approved
100228,40,78811,638,7899,26,0.62,6,Business,Divorced,Masters,Rented,Tier1,Gold,16/04/2025,Approved
100229,56,29001,723,32322,1,0.58,7,Salaried,Single,Masters,Rented,Tier1,Gold,25/01/2024,Approved
100230,39,85848,468,34797,13,0.68,4,Self-Employed,Single,Masters,Rented,Tier3,Silver,04/07/2024,Approved
100231,46,77635,561,16128,6,0.45,4,Salaried,Divorced,Bachelors,Rented,Tier1,Gold,01/08/2024,Rejected
100232,23,45946,528,34179,16,0.22,6,Salaried,Single,Bachelors,Owned,Tier3,Gold,13/03/2024,Rejected
100233,,120852,460,2981,19,0.07,6,Business,Married,Bachelors,Family,Tier2,Gold,23/02/2024,Approved
100234,40,116103,726,43307,7,0.19,2,Self-Employed,Divorced,Bachelors,Rented,Tier3,Silver,17/10/2025,Approved
100235,52,68744,421,35073,19,0.49,2,Self-Employed,Single,Masters,Rented,Tier2,Gold,09/07/2024,Approved
100236,27,,448,13478,4,0.65,2,Business,Married,High School,Rented,Tier1,Silver,08/07/2025,Approved
100237,61,195231,410,47014,12,0.26,1,Business,Single,Bachelors,Family,Tier2,Platinum,08/09/2025,Approved
100238,53,48671,520,27429,16,0.62,7,Salaried,,Bachelors,Owned,Tier2,Gold,14/11/2025,Approved
100239,60,172522,363,38363,5,0.31,3,Business,Married,Masters,Owned,Tier1,Gold,16/01/2024,Approved
